paddy_yield(in_kg)_scaled,max_temp_d1_d30_scaled,min_temp_d31_d60_scaled,max_temp_d31_d60_scaled,max_temp_d61_d90_scaled,min_temp_d91_d120_scaled,max_temp_d91_d120_scaled,inst_wind_speed_d1_d30(in_knots)_scaled,inst_wind_speed_d31_d60(in_knots)_scaled,inst_wind_speed_d61_d90(in_knots)_scaled,inst_wind_speed_d91_d120(in_knots)_scaled,relative_humidity_d1_d30_scaled,relative_humidity_d31_d60_scaled,relative_humidity_d61_d90_scaled,relative_humidity_d91_d120_scaled,rain_pca,ai_pca,min_temp_d1_d30_and_61_d90,agriblock_Kallakurichi,agriblock_Sankarapuram,variety_delux ponni,wind_direction_d1_d30_SSE,wind_direction_d1_d30_W,wind_direction_d31_d60_W,wind_direction_d31_d60_WNW,wind_direction_d61_d90_SE,wind_direction_d61_d90_SW,wind_direction_d91_d120_NW,wind_direction_d91_d120_S
0.7095452683326505,0.5,-0.75,0.0,-1.0,0.0,0.0,-0.6666666666666666,0.0,0.0,0.0,-0.053846153846154064,-0.8666666666666667,0.8,0.16666666666666666,1.1324645085190062,-1.132464508519003,-0.8112636168427343,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.7357640311347808,0.5,0.5,1.25,-0.25,0.0,-1.6666666666666667,0.3333333333333333,-1.0,1.0,-0.6666666666666666,-0.6230769230769237,-0.4,0.0,0.5,1.1324645085190062,-1.132464508519003,0.18717518102150504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.7963949201147071,1.0,0.25,0.0,0.25,2.0,0.0,-0.6666666666666666,0.3333333333333333,-2.0,0.3333333333333333,0.9461538461538459,0.3333333333333333,0.0,-0.8333333333333334,-0.7351497426929983,0.7351497426930013,0.6017389572459733,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.7087259319950839,0.0,-0.25,0.5,-0.75,-0.5,-0.3333333333333333,0.0,-0.6666666666666666,0.0,-0.6666666666666666,1.215384615384615,0.26666666666666666,-0.6,0.0,-0.7351497426929983,0.7351497426930013,-0.22738859520296317,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0
0.6423596886521917,-0.5,0.0,-0.5,0.5,0.5,1.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,0.3333333333333333,0.0,0.0,-0.2,-0.5,-0.4373707345783815,0.4373707345783765,1.0163027334704415,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0
0.8258910282671037,-1.0,-1.0,1.0,0.0,-1.0,-1.0,-0.3333333333333333,-0.6666666666666666,0.0,0.0,0.4538461538461532,-0.7333333333333333,1.6,0.6666666666666666,-0.4373707345783815,0.4373707345783765,-1.2258273930672026,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5821384678410487,0.5,-0.75,0.0,-1.0,0.0,0.0,-0.6666666666666666,0.0,0.0,0.0,-0.053846153846154064,-0.8666666666666667,0.8,0.16666666666666666,1.1324645085190062,-1.132464508519003,-0.8112636168427343,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.8230233510856206,0.5,0.5,1.25,-0.25,0.0,-1.6666666666666667,0.3333333333333333,-1.0,1.0,-0.6666666666666666,-0.6230769230769237,-0.4,0.0,0.5,1.1324645085190062,-1.132464508519003,0.18717518102150504,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.7287996722654649,1.0,0.25,0.0,0.25,2.0,0.0,-0.6666666666666666,0.3333333333333333,-2.0,0.3333333333333333,0.9461538461538459,0.3333333333333333,0.0,-0.8333333333333334,-0.7351497426929983,0.7351497426930013,0.6017389572459733,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5342072920934043,0.0,-0.25,0.5,-0.75,-0.5,-0.3333333333333333,0.0,-0.6666666666666666,0.0,-0.6666666666666666,1.215384615384615,0.26666666666666666,-0.6,0.0,-0.7351497426929983,0.7351497426930013,-0.22738859520296317,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0
0.6497337156902908,-0.5,0.0,-0.5,0.5,0.5,1.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,0.3333333333333333,0.0,0.0,-0.2,-0.5,-0.4373707345783815,0.4373707345783765,1.0163027334704415,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0
0.782056534207292,-1.0,-1.0,1.0,0.0,-1.0,-1.0,-0.3333333333333333,-0.6666666666666666,0.0,0.0,0.4538461538461532,-0.7333333333333333,1.6,0.6666666666666666,-0.4373707345783815,0.4373707345783765,-1.2258273930672026,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.680049160180254,0.5,-0.75,0.0,-1.0,0.0,0.0,-0.6666666666666666,0.0,0.0,0.0,-0.053846153846154064,-0.8666666666666667,0.8,0.16666666666666666,1.1324645085190062,-1.132464508519003,-0.8112636168427343,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.6706267922982384,0.5,0.5,1.25,-0.25,0.0,-1.6666666666666667,0.3333333333333333,-1.0,1.0,-0.6666666666666666,-0.6230769230769237,-0.4,0.0,0.5,1.1324645085190062,-1.132464508519003,0.18717518102150504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.9074149938549775,1.0,0.25,0.0,0.25,2.0,0.0,-0.6666666666666666,0.3333333333333333,-2.0,0.3333333333333333,0.9461538461538459,0.3333333333333333,0.0,-0.8333333333333334,-0.7351497426929983,0.7351497426930013,0.6017389572459733,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
